Batch_ID,Harvest_Quantity_kg,Processing_Quantity_kg,Bottled_Quantity_kg,Dispatched_Quantity_kg,Anomaly
HC-BATCH-1479,415.3,394.1,378.75,358.82,0
HC-BATCH-1480,135.59,127.64,121.2,110.71,0
HC-BATCH-1481,294.17,276.2,257.73,237.99,0
HC-BATCH-1482,428.53,394.4,381.64,337.29,0
HC-BATCH-1483,346.63,335.77,323.67,319.92,0
HC-BATCH-1484,297.16,280.21,268.34,379.87,1
HC-BATCH-1485,81.95,78.19,73.19,72.36,0
HC-BATCH-1486,394.84,362.93,343.47,308.94,0
HC-BATCH-1487,383.04,373.97,349.49,316.4,0
HC-BATCH-1488,160.18,151.09,147.99,131.52,0
HC-BATCH-1489,499.96,467.21,451.1,439.26,0
HC-BATCH-1490,231.94,213.75,203.64,182.32,0
HC-BATCH-1491,445.7,432.54,406.3,396.06,0
HC-BATCH-1492,348.52,340.06,316.05,282.5,0
HC-BATCH-1493,237.2,217.43,206.53,198.23,0
HC-BATCH-1494,385.75,356.84,338.78,311.99,0
HC-BATCH-1495,80.79,77.09,75.89,75.87,0
HC-BATCH-1496,149.47,139.16,128.62,196.71,1
HC-BATCH-1497,433.55,420.61,398.15,365.5,0
HC-BATCH-1498,88.23,80.61,75.05,71.61,0
HC-BATCH-1499,184.3,175.96,169.38,152.16,0
HC-BATCH-1500,77.96,93.34,87.88,81.61,1
