Date,Environmental Temperature (°C),Relative Humidity (%),Hive Temperature (°C),Hive Humidity (%),Wind Speed (km/h),Honey Weight (kg),Total Weight (Hive + Bees + Honey) (kg),Extract Honey
"December 21, 2024",25.04,69.25,34.43,53.82,8.52,16.91,41.91,False
"December 22, 2024",22.21,76.97,34.96,65.04,9.2,17.01,42.01,False
"December 23, 2024",27.63,68.08,34.58,60.18,5.98,17.13,42.13,False
"December 24, 2024",18.38,70.37,32.5,61.32,8.13,17.24,42.24,False
"December 25, 2024",23.26,80.3,32.74,56.92,8.52,17.32,42.32,False
"December 26, 2024",18.05,66.16,31.78,68.17,0.43,17.4,42.4,False
"December 27, 2024",21.59,79.13,34.15,51.96,3.29,17.49,42.49,False
"December 28, 2024",21.64,67.34,32.15,59.77,5.03,17.55,42.55,False
"December 29, 2024",22.56,79.12,33.17,57.86,7.89,17.68,42.68,False
"December 30, 2024",23.67,76.01,31.9,51.45,2.03,17.8,42.8,False
"December 31, 2024",25.59,79.96,34.87,68.45,4.0,5.0,42.86,True
